"df.data_coleta","od","dbo","turbidez","pH","coliformes","nt_total","p_total","temperatura","tds","IQA"
"1978-01-01",5.2,2,37,7,4900,0.35,0.023,22,119,49.6189408066365
"1978-02-01",3.8,1,70,7.3,3300,0.45,0.118,28,138,50.4942142147711
"1978-03-01",3.9,2,60,7.1,4900000,0.65,0.108,26,116,36.9848061387515
"1978-04-01",3.4,1,30,6.7,3300,0.1,0.101,25,93,49.9583057267643
"1978-05-01",2.8,3,10,6.5,1300,0.58,0.068,23,103,43.8304005046988
"1978-06-01",1.8,4,60,6.4,230000,0.35,0.152,19,105,27.1850384200206
"1978-07-01",0.8,8,20,6.8,79000,0.41,0.027,20,110,28.9663424756421
"1978-08-01",0.3,4,15,6.3,23000,0.58,0.048,22,135,25.2677299314113
"1978-09-01",3.46666666666667,17,15,7.1,2.2e+07,0.65,0.189,21,166,29.4122448980042
"1978-10-01",0.6,14,13,6.3,7900000,0.7,0.114,26,160,25.5287732687905
"1978-11-01",3,4,65,7.1,33000,0.74,0.166,26,193,35.7841576318444
"1978-12-01",3.6,2,35,6.9,170000,0.55,0.054,27,105,35.5773795707511
"1979-01-03",4.6,2,100,6.4,49000,0.36,0.132,23,214,41.5925049536986
"1979-02-07",1.3,1,35,6.5,13000,0.48,0.08,28,79,37.1054638044562
"1979-03-06",3,3,60,6,1300,0.31,0.107,27,139,43.9135558556043
"1979-04-03",4,2,23,6.1,4900,0.31,0.43,25,504,40.9258552038551
"1979-05-08",5.2,5,85,6.5,790000,0.4,0.139,21,268,36.0601128289701
"1979-06-07",4,3,20,6.4,13000,0.12,0.025,19,158,40.2678090100603
"1979-07-03",0.6,3,9,5.9,500,0.1,0.278,19,76,35.7518446076076
"1979-08-01",1.2,4,16,5.3,17000,0.54,0.142,19,462,26.4720440055543
"1979-09-10",5.6,3,13,6.8,33000,0.36,0.098,19,126,42.7448285258465
"1979-10-02",0.3,3,33,6.8,4900,0.54,0.213,22,168,27.8480435609696
"1979-11-06",5.4,2,70,6.4,2300,0.1,0.123,22,127,53.1896412608283
"1979-12-04",2.2,2,125,6,49000,0.1,0.221,26,192,33.3508644868634
"1980-01-03",4.4,1,150,6.3,220000,0.1,0.217,25,246,38.5576032978093
"1980-02-05",5.2,3,45,6.5,33000,0.1,0.104,27,138,42.3461846394853
"1980-03-04",3.5,2,80,7,23000,0.1,0.228,25,194,40.5463432592199
"1980-04-08",5.9,2,85,6.8,3500000,0.22,0.191,24,190,41.882511634858
"1980-05-07",4.8,2,15,6.8,79000,0.45,0.069,22,95,44.9344313211929
"1980-06-03",4.2,2,17,7.2,79000,0.45,0.047,21,108,39.2669077454652
"1980-07-03",5.1,3,40,7.1,170000,0.71,0.152,18,179,35.7934179226652
"1980-08-04",1.4,3,10,6.3,230000,0.72,0.058,20,149,27.2946920773307
"1980-09-01",0.9,3,11,6.3,13000,0.67,0.02,22,117,30.4609695946977
"1980-10-01",0.3,3,19,7.1,2400000,0.36,0.248,23,194,22.5105481305588
"1980-11-03",8.9,2,8,6.6,23000,0.48,2.25,25,136,43.0469533720662
"1980-12-02",1.5,4,250,6.6,13000,0.57,0.02,26,749,14.5354197653266
"1981-01-08",4.4,3,250,6.2,11000,0.5,0.02,26,499,19.5658571996717
"1981-02-02",3.4,1,45,6.9,33000,0.33,0.166,24,120,38.7771812805585
"1981-03-05",1.6,2,27,6.5,230000,0.54,0.072,27,129,28.9877360430614
"1981-04-02",4,2,45,6.8,330000,0.41,0.02,25,159,36.6954482249812
"1981-05-05",3.6,3,120,6.8,13000,0.5,0.02,22,279,42.1445453302758
"1981-06-03",1.4,2,15,6.7,4600,0.57,0.063,20,133,35.8985632148281
"1981-07-01",1,3,15,7,4900,0.69,0.063,19,132,33.0596639714237
"1981-08-03",1.4,2,8.5,7.1,17000,0.4,0.077,20,130,33.6298205153326
"1981-09-01",7.2,5,9,7.2,79000,0.77,0.184,21,179,40.9397989357984
"1981-10-01",0.6,4,6.5,7.3,130000,1.08,0.148,23,199,24.0961022939461
"1981-11-03",3.5,3,160,7.2,13000,0.51,0.02,24,307,24.6563465827425
