"df.data_coleta","od","dbo","turbidez","pH","coliformes","nt_total","p_total","temperatura","tds","IQA"
"1984-03-09",4.8,3,60,7.2,7000,0.16,0.028,26,292,48.4784166980298
"1984-04-02",6.2,3,10,7.4,23000,0.16,0.041,25,114,47.6437981902581
"1984-05-02",6.4,3,20,6.7,2000,0.47,0.93,24,137,43.9664466109548
"1984-06-07",5.4,3,11,7.6,23000,0.71,0.147,23,127,44.1024408279384
"1984-07-02",5.2,6,10,7.1,350000,0.4,0.37,23,71,43.2544019683653
"1984-08-01",5.6,8,10,7.4,13000,1.37,0.162,21,155,48.5807675858864
"1984-09-05",5.1,2,10,7.3,7000,0.71,0.07,20,130,48.5022514167506
"1984-10-01",6,3,15,7.1,4900,0.69,0.254,23,143,48.699884209615
"1984-11-06",2,8,10,7.2,23000,0.96,0.319,26,168,34.9925180987385
"1984-12-03",4.2,6,6,7.1,240000,0.71,0.593,25,533,35.3190180956473
"1985-01-07",6,2,50,7,33000,0.29,0.254,26,155,44.5354650887763
"1985-03-18",6.8,8,155,6.8,2300,0.57,0.202333333333333,23,341.666666666667,34.2929250170529
"1985-05-21",4.8,6,14,6.8,23000,0.35,0.155,21,122,44.4418660157723
"1985-07-01",4.6,6,6.5,7,12000,0.07,0.087,20,140,47.2061424151999
"1985-09-03",2.7,6,12,7,50000,0.8,0.125,19,181,36.371695351918
"1985-10-03",2.2,4,9.4,6.1,3000,0.08,0.122,23,113,37.3955083982668
"1985-11-06",4.8,2,15,7.3,90000,0.32,0.119,25,152,41.5708122385611
"1986-01-07",5.6,5,36,6.9,23000,0.06,0.069,24,137,41.6401570213054
"1986-03-04",4.8,5,66,7.2,50000,0.33,0.164,26,176,39.360264790685
"1986-05-20",4.8,4,150,7,2500,0.75,0.29,22,327,46.799170612346
"1986-07-08",6.2,3,6.8,7.2,3000,0.59,0.115,14,138,50.6690179482051
"1986-09-09",2,8,5.7,7,7000,0.46,0.175,23,189,39.2588229932344
"1986-11-13",7.4,4,120,6.9,70000,0.14,0.246,19,271,42.693790927975
"1987-02-12",6.8,3,98,6.9,50000,0.05,0.242,25,322,44.9720883901433
"1987-04-23",5.8,3,49,7.5,2000,0.16,0.16,20,157,50.9777779067356
"1987-06-22",8,3,28,7,3000,0.18,0.358,20,107,50.1383025633119
"1987-08-25",6.4,5,6,7,2300,0.22,0.182,20,122,49.9583979472865
"1987-10-27",4,5,15,7.2,17000,0.19,0.285,24,157,37.0645725132171
"1987-12-14",5.2,4,74,7,2300,0.75,0.28,22,206,48.4615438959371
"1988-02-10",6.6,9,280,6.9,11000,0.56,0.76,22,733,17.8319615264715
"1988-04-13",6.4,3,74,7,50000,0.05,0.157,21,220,44.8955430162214
"1988-06-02",7.5,3,68,7,50000,0.24,0.476,18,206,42.1211521478355
"1988-08-09",4.8,1,9,7,3000,0.55,0.198,19,138,49.8940115141322
"1988-10-12",2,28,15,6.7,200,0.29,0.272,21,178,33.7475758899587
"1988-12-12",4.6,4,20,7.06666666666667,30000,0.49,0.304,24,157,38.0454977257611
"1989-02-16",6,3,200,7.9,50000,0.19,0.338,23,367,21.6094950831104
